Sample rows from table: mnrFileOption

ID	Number	Value	StrValue1	StrValue2	StrValue3	G1	G2	G3	UserID	StrValue4	StrValue5	StrValue6	iValue1	iValue2	iValue3
F1A49DB4-1711-406A-AFB1-96AF7B5605AE	65648	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
B22D2C3D-A720-480D-8882-19FFF5FB20DB	65577	1				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
92DB77D8-0307-4584-80F9-BE070CECE711	65578	1				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
E53201FE-E87B-4CEF-9E45-3D290317F5F7	65579	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
B5393533-F8BB-43DE-8C6C-A4C722F59F9F	65580	1				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
73CA9F85-CCFB-4CAF-B3F8-1FD983833B6B	65581	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
72A1A4DE-4AA1-4E73-9977-5CB8E3ECABE1	65582	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
BCDC487D-4097-4D11-8F5B-FBB85CA73EC1	65583	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
E6D5CD0B-024C-4A27-B9A0-3CAB45A61CE7	65641	0				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
DC09F524-D65F-49AA-82F2-4BEA1CB5A155	65584	1				NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0
