Sample rows from table: mnrPrintTypeDetail

ID	Number	ParentID	ColNumber	LineNumber	HeaderName	FldID	Align	IsPrint	Width	CellType	BrTop	BrRight	BrLeft	BrBottom	Picture
90C0F781-A7A1-433D-A821-984E44946C28	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	0	0	اسم الفاتورة	1	3	1	100.0	0	False	False	False	False	NULL
36A798C6-BC42-49B1-8BD1-160F3E99F7E1	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	0	1	السيد:	-3999	2	1	10.0	0	False	False	False	False	NULL
673F7CEC-A3DA-4AFA-A3A6-5C7DEE61F318	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	1	1	اسم العميل	7	0	1	60.0	0	False	False	False	False	NULL
847147B0-92DF-40AF-8E78-E9DEB5CBB33E	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	2	1	الرقم	-3998	2	1	15.0	0	False	False	False	False	NULL
77AE3FE8-3EAC-4215-BABA-C64446FAFAD4	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	3	1	رقم الفاتورة	5	0	1	15.0	0	False	False	False	False	NULL
FAF35A91-0107-44C8-8D58-03C9C0B2FA31	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	0	2	طريقة الدفع	-3997	2	1	10.0	0	False	False	False	False	NULL
E71C99A6-BC99-47EB-9A6E-16AB8411AA89	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	1	2	طريقة الدفع	136	0	1	60.0	0	False	False	False	False	NULL
09C7E13B-A107-4074-89B5-71EA4BE745B8	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	2	2	التاريخ:	-3996	2	1	15.0	0	False	False	False	False	NULL
36499365-8328-4CDB-8856-27BF12A7D7BC	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	3	2	التاريخ	6	0	1	15.0	0	False	False	False	False	NULL
5DD2E761-548E-4F3D-9B30-7A50EBE337DE	0	D2EBC90A-FA61-4BC0-BF6A-3CE5CC88346C	0	3	ملاحظات	-3995	2	1	10.0	0	False	False	False	False	NULL
