Sample rows from table: mnrRepStrDetail

ID	RepStrID	Number	Str1	Str2
E579E6E4-9EED-43FD-B00A-B98AE9519C91	384198AE-ABB9-44DB-9B4C-2DF55E294637	0	الحا&لة	طريقة الاستعمال
30B8173F-132C-425A-9F51-91E6AA81CCC6	384198AE-ABB9-44DB-9B4C-2DF55E294637	1	الحالة	طريقة الاستعمال
B5683803-F95E-42C8-8463-132F2BE78288	384198AE-ABB9-44DB-9B4C-2DF55E294637	2	المنارة	المنارة لإدارة الصيدليات
4A7DF215-7946-4B82-9D7A-3A1C861E1AAD	384198AE-ABB9-44DB-9B4C-2DF55E294637	3	الج&ملة	الصيدلي
DA8320BC-8726-43B9-AD94-F2503A4BC325	384198AE-ABB9-44DB-9B4C-2DF55E294637	4	الجملة	الصيدلي
1E688BB5-4CEE-4E07-91ED-50A085C4E07F	384198AE-ABB9-44DB-9B4C-2DF55E294637	5	مادة	دواء
B17631C5-D086-495F-8751-280A3C7108AC	384198AE-ABB9-44DB-9B4C-2DF55E294637	6	الم&واصفات	التركيب الكيمائي
C628F20A-7031-401E-85FD-2623CADBFD3E	384198AE-ABB9-44DB-9B4C-2DF55E294637	7	المواصفات	التركيب الكيمائي
410CF2E8-1CD5-4BCF-B7FA-7C64057CFDA5	384198AE-ABB9-44DB-9B4C-2DF55E294637	8	رقم الشاس&ه	الشكل الدوائي
2EB17E3E-4A14-4E82-80EC-EAF40B8D8896	384198AE-ABB9-44DB-9B4C-2DF55E294637	9	رقم الشاسه	الشكل الدوائي
