Sample rows from table: mnrTblMarge

ID	Number	TableName	Condition	Type
B64EBFBA-7EB5-4A9F-8966-04C5B1684477	10	mnrEntry		1
D98453B1-BF43-4243-A7D5-0CF3465CFB1D	14	mnrMatStore		0
4760D85B-8C04-4150-8810-0E17756B6E47	2	mnrBill		1
7A4096AB-8859-4359-BA69-3981098E7855	15	mnrPay		1
D8CE7AA6-B38A-4508-AE41-3A85985DF68A	19	mnrNotes		1
7A1BD6EC-AB86-4BA8-91E6-40D78C96E915	4	mnrBillItem		1
62524F20-E110-4869-A990-438C17EAC8AE	7	mnrCurHistory		1
979E3655-9F0B-4DF0-B0EF-4E2F6E0E96BA	5	mnrBillType		0
CE4939E3-D538-4E43-9CC0-6110A815E252	1	mnrAcc		0
A5CDA260-B385-45C3-A5BE-7367AF3DFD20	3	mnrBillDisc		1
